# VSS hardware run — 2026-04-20T12:59:15
# mu=0.001  mu_omega=0.0  control_fs=800.0  log_hz=100.0
# cancel_dur=240.0s  actual_dur=240.01s  n_samples=24001
# F_init_hz=[8.499999966281907]  max_amp_per_tone=9.0mm  max_total_amp=60.0mm
# dir_invert=True  simulate=False
# NOTE: C_mm, S_mm, f_hz, A_mm are tone 1 only
t_s,e_m_s2,C_mm,S_mm,f_hz,A_mm
2.819189,-0.265603,0.066221,-0.151837,8.497102,0.165649
2.829189,-0.349352,0.068971,-0.151569,8.497102,0.166524
2.839189,-0.239282,0.070499,-0.150454,8.497102,0.166151
2.849189,-0.095713,0.070797,-0.149758,8.497102,0.165650
2.859189,0.301496,0.071101,-0.152123,8.497102,0.167919
2.869188,0.270389,0.072415,-0.153809,8.497102,0.170004
2.879189,-0.069392,0.071905,-0.153608,8.497102,0.169605
2.889189,-0.260818,0.069868,-0.153934,8.497102,0.169048
2.899189,-0.370888,0.067611,-0.155807,8.497102,0.169844
2.909189,-0.203390,0.066977,-0.157461,8.497102,0.171113
2.919189,0.071785,0.066858,-0.157178,8.497102,0.170807
2.929189,-0.035892,0.066995,-0.157296,8.497102,0.170969
2.939189,-0.370888,0.069499,-0.158026,8.497102,0.172633
2.949189,-0.308674,0.071942,-0.157493,8.497102,0.173147
2.959189,-0.215354,0.073264,-0.156281,8.497102,0.172602
2.969189,0.064606,0.073260,-0.156528,8.497102,0.172823
2.979189,0.385244,0.074012,-0.159158,8.497102,0.175525
2.989189,0.129212,0.075017,-0.160307,8.497102,0.176991
2.999191,-0.200997,0.074071,-0.160199,8.497102,0.176495
3.009190,-0.263210,0.072196,-0.160769,8.502288,0.176235
3.019189,-0.392423,0.070282,-0.162880,8.502288,0.177397
3.029190,-0.095713,0.069875,-0.164160,8.502288,0.178413
3.039189,0.069392,0.069743,-0.163966,8.502288,0.178183
3.049189,-0.200997,0.070609,-0.164586,8.502288,0.179093
3.059189,-0.366102,0.073147,-0.165003,8.502288,0.180490
3.069189,-0.224925,0.075236,-0.164325,8.502288,0.180729
3.079189,-0.131605,0.076110,-0.163340,8.502288,0.180202
3.089189,0.229711,0.076171,-0.164108,8.502288,0.180924
3.099189,0.332602,0.077077,-0.166251,8.502288,0.183249
3.109189,-0.045464,0.077561,-0.166863,8.502288,0.184008
3.119189,-0.253639,0.076168,-0.166793,8.502288,0.183362
3.129188,-0.337388,0.073965,-0.167795,8.502288,0.183374
3.139205,-0.287139,0.072525,-0.169739,8.502288,0.184584
3.149386,0.035892,0.072262,-0.170712,8.502288,0.185377
3.159189,0.000000,0.072219,-0.170576,8.502288,0.185234
3.169189,-0.346959,0.073458,-0.171192,8.502288,0.186287
3.179189,-0.315853,0.076073,-0.171368,8.502288,0.187494
3.189188,-0.191426,0.077888,-0.170513,8.502288,0.187460
3.199245,-0.009571,0.078292,-0.170043,8.502288,0.187201
3.209190,0.337388,0.078438,-0.171344,8.502288,0.188444
3.219189,0.136391,0.079354,-0.173207,8.502288,0.190520
3.229190,-0.160319,0.079453,-0.173437,8.502288,0.190770
3.239189,-0.279960,0.077833,-0.173501,8.502288,0.190159
3.249192,-0.303888,0.075876,-0.174680,8.502288,0.190447
3.259299,-0.126820,0.074898,-0.176287,8.502288,0.191538
3.269189,0.093320,0.074801,-0.176643,8.502288,0.191828
3.279189,-0.191426,0.074976,-0.176654,8.502288,0.191906
3.289189,-0.368495,0.076833,-0.177494,8.502288,0.193410
3.299189,-0.239282,0.079491,-0.177368,8.502288,0.194367
3.309189,-0.143569,0.080919,-0.176436,8.502288,0.194107
3.319189,0.200997,0.081238,-0.176077,8.502288,0.193914
3.329189,0.311067,0.081458,-0.177869,8.502288,0.195634
3.339189,-0.016750,0.082428,-0.179412,8.502288,0.197441
3.349189,-0.277567,0.081795,-0.179254,8.502288,0.197034
3.359189,-0.313460,0.079551,-0.179562,8.502288,0.196395
3.369189,-0.270389,0.077656,-0.181025,8.502288,0.196978
3.379311,0.014357,0.076976,-0.182456,8.502288,0.198029
3.389189,-0.028714,0.076974,-0.182383,8.502288,0.197961
3.399189,-0.325424,0.077358,-0.182735,8.502288,0.198434
3.409189,-0.318245,0.079776,-0.183593,8.502288,0.200176
3.419189,-0.191426,0.082130,-0.183161,8.502288,0.200731
3.429189,-0.040678,0.083173,-0.182277,8.502288,0.200357
3.439189,0.351745,0.083241,-0.182362,8.502288,0.200462
3.449189,0.196211,0.083795,-0.184933,8.502288,0.203032
3.459189,0.196211,0.084864,-0.186058,8.502288,0.204498
3.469189,-0.189033,0.083426,-0.185650,8.502288,0.203533
3.479189,-0.256032,0.081468,-0.186165,8.502288,0.203211
3.489189,-0.284746,0.079887,-0.187767,8.502288,0.204055
3.499189,-0.160319,0.079579,-0.188997,8.502288,0.205068
3.509189,0.074178,0.079412,-0.188435,8.502288,0.204485
3.519203,-0.157926,0.080328,-0.189284,8.502288,0.205623
3.529195,-0.392423,0.083361,-0.189939,8.502288,0.207427
3.539188,-0.265603,0.085353,-0.189276,8.502288,0.207631
3.549188,-0.153141,0.086239,-0.188297,8.502288,0.207106
3.559189,0.138784,0.086159,-0.189109,8.502288,0.207811
3.569189,0.349352,0.087089,-0.191492,8.502288,0.210365
3.579189,0.033500,0.087486,-0.191910,8.502288,0.210910
3.589189,-0.222533,0.085984,-0.191744,8.502288,0.210140
3.599189,-0.311067,0.083792,-0.192654,8.502288,0.210087
3.609189,-0.277567,0.082435,-0.194420,8.502288,0.211175
3.619189,-0.004786,0.082337,-0.194714,8.502288,0.211407
